epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/e2e_precision(B),metrics/e2e_recall(B),metrics/e2e_mAP50(B),metrics/e2e_mAP50-95(B),fitness_e2e,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,34.8802,3.19035,15.4375,0.36471,0,0,0,0,0,0,0,0,0,3.39815,10.8389,0.20417,0,0,0,0,0.1,0.1,0,0
2,53.7679,3.16099,7.89197,0.38582,0,0,0,0,0,0,0,0,0,3.40463,10.8385,0.20422,0.000161962,5.39873e-05,0.000161962,5.39873e-05,0.099162,0.099054,0.000161962,5.39873e-05
3,82.2429,3.20477,9.25612,0.26159,0,0,0,0,0,0,0,0,0,3.41063,10.8377,0.20424,0.000323696,0.000107899,0.000323696,0.000107899,0.0983237,0.0981079,0.000323696,0.000107899
4,136.725,3.32547,8.73868,0.24176,0,0,0,0,0,0,0,0,0,3.41652,10.8371,0.20425,0.000484975,0.000161658,0.000484975,0.000161658,0.097485,0.0971617,0.000484975,0.000161658
5,197.069,3.2053,18.2025,0.27765,0,0,0,0,0,0,0,0,0,3.42261,10.8362,0.20428,0.000645572,0.000215191,0.000645572,0.000215191,0.0966456,0.0962152,0.000645572,0.000215191
6,209.147,3.40734,7.2799,0.53028,0,0,0,0,0,0,0,0,0,3.42846,10.8354,0.2043,0.000805261,0.00026842,0.000805261,0.00026842,0.0958053,0.0952684,0.000805261,0.00026842
7,220.616,3.64907,5.01237,0.30921,0,0,0,0,0,0,0,0,0,3.43427,10.8344,0.20431,0.000963818,0.000321273,0.000963818,0.000321273,0.0949638,0.0943213,0.000963818,0.000321273
8,245.23,3.56211,6.08664,0.29128,0,0,0,0,0,0,0,0,0,3.44012,10.8333,0.20435,0.00112102,0.000373674,0.00112102,0.000373674,0.094121,0.0933737,0.00112102,0.000373674
9,265.25,3.34833,7.00593,0.2974,0,0,0,0,0,0,0,0,0,3.44606,10.8329,0.20438,0.00127665,0.00042555,0.00127665,0.00042555,0.0932766,0.0924255,0.00127665,0.00042555
