epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/e2e_precision(B),metrics/e2e_recall(B),metrics/e2e_mAP50(B),metrics/e2e_mAP50-95(B),fitness_e2e,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.5197,3.22387,14.1634,0.34185,0,0,0,0,0,0,0,0,0,3.39769,10.8384,0.20418,0.000162,5.4e-05,0.000162,5.4e-05,0.099162,0.099054,0.000162,5.4e-05
2,45.5516,3.26937,5.99657,0.32382,0,0,0,0,0,0,0,0,0,3.40291,10.8364,0.2042,0.000485886,0.000161962,0.000485886,0.000161962,0.0974859,0.097162,0.000485886,0.000161962
3,64.9775,3.351,6.19062,0.27967,0,0,0,0,0,0,0,0,0,3.40929,10.8364,0.2042,0.00080924,0.000269747,0.00080924,0.000269747,0.0958092,0.0952697,0.00080924,0.000269747
4,85.1206,3.06819,20.7029,0.29367,0,0,0,0,0,0,0,0,0,3.41447,10.8334,0.20426,0.00113161,0.000377203,0.00113161,0.000377203,0.0941316,0.0933772,0.00113161,0.000377203
