epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/e2e_precision(B),metrics/e2e_recall(B),metrics/e2e_mAP50(B),metrics/e2e_mAP50-95(B),fitness_e2e,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,30.2393,3.27994,11.6786,0.36732,0,0,0,0,0,0,0,0,0,3.20859,10.6181,0.19905,0.000162,5.4e-05,0.000162,5.4e-05,0.099162,0.099054,0.000162,5.4e-05
2,47.8074,3.1984,5.67397,0.30598,0,0,0,0,0,0,0,0,0,3.2149,10.6196,0.19906,0.000485886,0.000161962,0.000485886,0.000161962,0.0974859,0.097162,0.000485886,0.000161962
3,72.0185,3.20844,5.85463,0.26482,0,0,0,0,0,0,0,0,0,3.2216,10.6227,0.19908,0.00080924,0.000269747,0.00080924,0.000269747,0.0958092,0.0952697,0.00080924,0.000269747
4,100.708,2.92893,15.7557,0.29061,0,0,0,0,0,0,0,0,0,3.22915,10.6263,0.19918,0.00113161,0.000377203,0.00113161,0.000377203,0.0941316,0.0933772,0.00113161,0.000377203
5,116.423,3.66353,4.99291,0.40769,0,0,0,0,0,0,0,0,0,3.23635,10.6266,0.19929,0.00145254,0.000484179,0.00145254,0.000484179,0.0924525,0.0914842,0.00145254,0.000484179
6,133.648,3.14141,5.88856,0.41277,0,0,0,0,0,0,0,0,0,3.24402,10.6213,0.19949,0.00177157,0.000590524,0.00177157,0.000590524,0.0907716,0.0895905,0.00177157,0.000590524
7,158.242,3.35327,7.5686,0.27934,0,0,0,0,0,0,0,0,0,3.25082,10.6157,0.1996,0.00208827,0.000696091,0.00208827,0.000696091,0.0890883,0.0876961,0.00208827,0.000696091
8,179.408,3.74133,6.21279,0.33048,0,0,0,0,0,0,0,0,0,3.25565,10.6105,0.19959,0.00240219,0.000800729,0.00240219,0.000800729,0.0874022,0.0858007,0.00240219,0.000800729
9,206.399,3.6584,6.10911,0.25772,0,0,0,0,0,0,0,0,0,3.261,10.5871,0.19959,0.00271288,0.000904293,0.00271288,0.000904293,0.0857129,0.0839043,0.00271288,0.000904293
